station_name,street_address,city,state,zip_code,latitude,longitude,access_code,facility_type,network,connector_types,level1_count,level2_count,dc_fast_count,pricing,hours,date_last_confirmed,updated_at,station_phone,owner_type,federal_agency,open_date,cards_accepted,bd_blends,groups_with_access_code,hydrogen_standards,maximum_vehicle_class,country,intersection_directions,plus4
LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,34.2483191527193,-118.3879713743439,private,UTILITY,SHELL_RECHARGE,"['CHADEMO', 'J1772', 'J1772COMBO']",0,57,2,,Fleet use only,2023-09-14,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,,US,,
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,34.040539,-118.271387,public,PARKING_GARAGE,Non-Networked,['J1772'],0,7,0,Free; parking fee,5:30am-9pm; pay lot,2023-01-10,2023-02-14T15:54:11Z,213-741-1151,P,,1995-08-30,,,Public,,LD,US,West hall and South hall,
LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,34.059133,-118.248589,private,UTILITY,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,338,12,,For fleet and employee use only,2023-09-14,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,LD,US,Across Hope,
LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,33.759802,-118.096665,private,UTILITY,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,19,1,,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,2018-05-01,,,Private,,,US,,
LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,33.770508,-118.265628,private,UTILITY,Non-Networked,['J1772'],0,10,0,,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,,US,At B St,
LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,34.30309,-118.480505,private,UTILITY,Non-Networked,['J1772'],0,2,0,Free,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,2016-01-01,,,Private - Government only,,,US,,
LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,34.066801,-118.227605,private,UTILITY,Non-Networked,"['CHADEMO', 'J1772']",0,46,1,,Fleet and employee use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,,US,,
LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,34.036777,-118.368841,private,UTILITY,Non-Networked,['J1772'],0,13,0,Free,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,2019-04-01,,,Private,,,US,,
LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,34.039736,-118.236065,private,UTILITY,Non-Networked,['J1772'],0,27,0,,Fleet use only,2023-09-14,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,,US,,
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,32.89947,-117.243,public,HOSPITAL,Non-Networked,['J1772'],0,1,0,Free; parking fee,24 hours daily,2024-08-15,2025-02-12T00:16:32Z,,P,,1997-07-30,,,Public,,,US,"Patient Parking Structure, level G",
Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,34.221665,-118.468371,public,CAR_DEALER,Non-Networked,['J1772'],0,2,0,Free,Dealership business hours; customer use only,2025-06-06,2025-06-06T18:42:11Z,855-889-2811,P,,2012-12-11,,,Public - Call ahead,,MD,US,,
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,33.909914,-117.459053,public,SHOPPING_MALL,Non-Networked,['J1772'],0,4,0,Free,6am-12am daily,2023-09-14,2025-05-16T15:00:13Z,951-351-3110,P,,1997-08-30,,,Public,,LD,US,,
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,34.14762,-118.147111,public,PARKING_GARAGE,Non-Networked,['J1772'],0,26,0,Free,24 hours daily; pay lot,2025-06-06,2025-07-17T16:07:56Z,626-744-7665,LG,,2014-01-20,CREDIT,,Public,,LD,US,,
