station_id,station_name,street,city,state,zip,country,latitude,longitude,network,network_url,access_code,access_hours,facility_type,level1_count,level2_count,dc_fast_count,connector_types,open_date,updated_at
1523,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,US,34.040539,-118.271387,Non-Networked,,public,5:30am-9pm; pay lot,PARKING_GARAGE,0,8,0,['J1772'],1995-08-30,2026-02-02T23:16:24Z
6355,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,US,32.89947,-117.243,Non-Networked,,public,24 hours daily,HOSPITAL,0,1,0,['J1772'],1997-07-30,2025-02-12T00:16:32Z
6405,Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,US,34.221665,-118.468371,Non-Networked,,public,Dealership business hours; customer use only,CAR_DEALER,0,2,0,['J1772'],2012-12-11,2026-02-02T23:16:24Z
6425,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,US,33.909914,-117.459053,Non-Networked,,public,6am-12am daily,SHOPPING_MALL,0,4,0,['J1772'],1997-08-30,2025-05-16T15:00:13Z
6505,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,US,34.14762,-118.147111,Non-Networked,,public,24 hours daily; pay lot,PARKING_GARAGE,0,26,0,['J1772'],2014-01-20,2026-05-11T13:12:34Z
6506,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,US,34.145138,-118.152655,Non-Networked,,public,24 hours daily; pay lot,PARKING_GARAGE,0,3,0,['J1772'],1997-08-30,2026-05-11T13:12:34Z
6507,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,US,34.145119,-118.150133,Non-Networked,,public,24 hours daily; pay lot,PARKING_GARAGE,0,3,0,['J1772'],1997-08-30,2026-05-11T13:12:34Z
7172,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,US,33.7637,-118.192,Non-Networked,,public,24 hours daily; pay lot; guest use only; see valet for access,HOTEL,0,1,0,['J1772'],2012-05-04,2026-02-02T23:16:24Z
7184,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,US,33.94325,-118.403342,Non-Networked,,public,24 hours daily; pay lot,AIRPORT,0,20,0,['J1772'],1998-06-30,2026-05-07T19:25:10Z
7195,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,US,34.228315,-119.170865,Non-Networked,,public,24 hours daily; guest use only; 2 hour limit,HOTEL,0,1,0,['J1772'],1998-05-30,2026-02-02T23:16:24Z
7196,Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,US,33.824004,-116.543589,Non-Networked,,public,24 hours daily; pay lot; priority given to registered guests,HOTEL,0,2,0,['J1772'],2011-12-12,2026-02-02T23:16:24Z
7206,Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,US,34.0189,-117.38,Non-Networked,,public,8am-4:30pm M-F,OFFICE_BLDG,0,4,0,"['J1772', 'TESLA']",1998-05-30,2026-02-02T23:16:24Z
7212,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,US,38.69005,-121.58889,Non-Networked,,public,24 hours daily; pay lot,AIRPORT,0,4,0,['J1772'],1998-06-30,2026-02-02T23:16:24Z
7229,City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,US,34.017081,-118.44704,Non-Networked,,public,24 hours daily,AIRPORT,0,2,0,['J1772'],1998-06-30,2026-05-18T13:20:25Z
7230,City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,US,34.010021,-118.49583,Non-Networked,,public,24 hours daily,MUNI_GOV,0,3,0,['J1772'],2019-04-08,2026-05-18T13:21:46Z
7242,Universal City Hilton,555 Universal Hollywood Dr,Universal City,CA,91608,US,34.13722,-118.35835,Non-Networked,,public,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,HOTEL,1,10,0,"['J1772', 'NEMA520']",1998-05-30,2026-05-14T13:36:06Z
7250,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,US,33.94756,-118.153806,Non-Networked,,public,24 hours daily,SHOPPING_CENTER,0,4,0,['J1772'],1998-06-15,2025-02-12T00:16:32Z
