year,make,model,trim,drive_type,fuel_type,vehicle_class,engine_description,transmission,city_mpge,highway_mpge,combined_mpge,range_miles,battery_capacity_kwh,onboard_charger_kw,charge_time_240v_hours,msrp_base,price_per_kwh,co2_emissions,ghg_score,data_source,cluster
2019,Tesla,Model 3,Standard Range Plus,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),130,114,121,240,50.0,11.5,4.3,39990,800,0,10,EPA,4
2019,Tesla,Model 3,Long Range,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),120,106,112,310,75.0,11.5,6.5,47990,640,0,10,EPA,2
2020,Tesla,Model 3,Standard Range Plus,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),131,115,122,250,50.0,11.5,4.3,37990,760,0,10,EPA,4
2020,Tesla,Model 3,Long Range,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),121,106,113,322,75.0,11.5,6.5,46990,627,0,10,EPA,2
2021,Tesla,Model 3,Standard Range Plus,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),134,118,125,263,50.0,11.5,4.3,39990,800,0,10,EPA,4
2021,Tesla,Model 3,Long Range,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),126,111,117,353,82.0,11.5,7.1,49990,610,0,10,EPA,2
2022,Tesla,Model 3,RWD,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),132,116,123,272,60.0,11.5,5.2,46990,783,0,10,EPA,4
2022,Tesla,Model 3,Long Range,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),128,113,119,358,82.0,11.5,7.1,57990,707,0,10,EPA,2
2023,Tesla,Model 3,RWD,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),132,116,123,272,60.0,11.5,5.2,40240,671,0,10,EPA,4
2023,Tesla,Model 3,Long Range,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),123,108,114,341,82.0,11.5,7.1,47240,576,0,10,EPA,2
2024,Tesla,Model 3,RWD,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),132,116,123,272,60.0,11.5,5.2,38990,650,0,10,EPA,4
2024,Tesla,Model 3,Long Range,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),123,108,114,341,82.0,11.5,7.1,45990,561,0,10,EPA,2
2020,Tesla,Model Y,Long Range,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),121,106,113,316,75.0,11.5,6.5,52990,707,0,10,EPA,2
2020,Tesla,Model Y,Performance,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),111,98,103,291,75.0,11.5,6.5,60990,813,0,10,EPA,2
2021,Tesla,Model Y,Long Range,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),125,110,116,330,75.0,11.5,6.5,54990,733,0,10,EPA,2
2021,Tesla,Model Y,Performance,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),115,101,107,303,75.0,11.5,6.5,62990,840,0,10,EPA,2
2022,Tesla,Model Y,Long Range,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),122,107,113,330,75.0,11.5,6.5,62990,840,0,10,EPA,2
2022,Tesla,Model Y,Performance,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),112,99,104,303,75.0,11.5,6.5,69990,933,0,10,EPA,2
2023,Tesla,Model Y,Long Range,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),122,107,113,330,75.0,11.5,6.5,52490,700,0,10,EPA,2
2023,Tesla,Model Y,Performance,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),112,99,104,303,75.0,11.5,6.5,56990,760,0,10,EPA,2
2024,Tesla,Model Y,Long Range,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),117,103,109,310,75.0,11.5,6.5,48990,653,0,10,EPA,2
2024,Tesla,Model Y,Performance,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),107,94,100,285,75.0,11.5,6.5,52490,700,0,10,EPA,5
2021,Tesla,Model S,Long Range,AWD,Electric,Large Luxury Sedan,Electric Motor,Automatic (variable gear ratios),115,101,107,405,100.0,11.5,8.7,89990,900,0,10,EPA,3
2022,Tesla,Model S,Long Range,AWD,Electric,Large Luxury Sedan,Electric Motor,Automatic (variable gear ratios),115,101,107,405,100.0,11.5,8.7,104990,1050,0,10,EPA,3
2023,Tesla,Model S,Long Range,AWD,Electric,Large Luxury Sedan,Electric Motor,Automatic (variable gear ratios),115,101,107,405,100.0,11.5,8.7,88490,885,0,10,EPA,3
2024,Tesla,Model S,Long Range,AWD,Electric,Large Luxury Sedan,Electric Motor,Automatic (variable gear ratios),113,99,105,402,100.0,11.5,8.7,74990,750,0,10,EPA,3
2021,Tesla,Model X,Long Range,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),96,84,89,360,100.0,11.5,8.7,99990,1000,0,10,EPA,6
2022,Tesla,Model X,Long Range,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),93,82,86,348,100.0,11.5,8.7,114990,1150,0,10,EPA,6
2023,Tesla,Model X,Long Range,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),93,82,86,348,100.0,11.5,8.7,98490,985,0,10,EPA,6
2024,Tesla,Model X,Long Range,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),89,78,83,335,100.0,11.5,8.7,79990,800,0,10,EPA,6
2021,Ford,Mustang Mach-E,Standard Range,RWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),97,85,90,230,68.0,10.5,6.5,42895,631,0,10,EPA,5
2021,Ford,Mustang Mach-E,Extended Range,RWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),103,91,96,305,88.0,10.5,8.4,50600,575,0,10,EPA,2
2021,Ford,Mustang Mach-E,Extended Range AWD,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),93,82,86,270,88.0,10.5,8.4,53600,609,0,10,EPA,5
2022,Ford,Mustang Mach-E,Standard Range,RWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),101,89,94,247,70.0,10.5,6.7,46895,670,0,10,EPA,5
2022,Ford,Mustang Mach-E,Extended Range,RWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),105,92,98,312,91.0,10.5,8.7,55300,608,0,10,EPA,2
2022,Ford,Mustang Mach-E,Extended Range AWD,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),95,84,88,277,91.0,10.5,8.7,58300,641,0,10,EPA,5
2023,Ford,Mustang Mach-E,Standard Range,RWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),102,90,95,250,70.0,10.5,6.7,46895,670,0,10,EPA,5
2023,Ford,Mustang Mach-E,Extended Range,RWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),105,92,98,312,91.0,10.5,8.7,52400,576,0,10,EPA,2
2023,Ford,Mustang Mach-E,Extended Range AWD,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),96,84,89,280,91.0,10.5,8.7,55400,609,0,10,EPA,5
2024,Ford,Mustang Mach-E,Standard Range,RWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),102,90,95,250,70.0,10.5,6.7,39995,571,0,10,EPA,5
2024,Ford,Mustang Mach-E,Extended Range,RWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),105,92,98,312,91.0,10.5,8.7,46995,516,0,10,EPA,2
2024,Ford,Mustang Mach-E,Extended Range AWD,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),96,84,89,280,91.0,10.5,8.7,49995,549,0,10,EPA,5
2022,Ford,F-150 Lightning,Standard Range,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),66,58,61,230,98.0,19.2,5.1,59974,612,0,10,EPA,0
2022,Ford,F-150 Lightning,Extended Range,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),70,62,65,320,131.0,19.2,6.8,79974,610,0,10,EPA,1
2023,Ford,F-150 Lightning,Standard Range,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),68,60,63,240,98.0,19.2,5.1,59974,612,0,10,EPA,0
2023,Ford,F-150 Lightning,Extended Range,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),70,62,65,320,131.0,19.2,6.8,79974,610,0,10,EPA,1
2024,Ford,F-150 Lightning,Standard Range,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),68,60,63,240,98.0,19.2,5.1,62995,643,0,10,EPA,0
2024,Ford,F-150 Lightning,Extended Range,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),70,62,65,320,131.0,19.2,6.8,82995,634,0,10,EPA,1
2019,Chevrolet,Bolt EV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),119,105,111,238,60.0,7.2,8.3,36620,610,0,10,EPA,4
2020,Chevrolet,Bolt EV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),127,112,118,259,66.0,7.2,9.2,37495,568,0,10,EPA,4
2021,Chevrolet,Bolt EV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),127,112,118,259,66.0,7.2,9.2,31995,485,0,10,EPA,4
