date,year,month,total_ev_sales,market_share_percent
2019-01-01,2019,1,4953,0.71
2019-02-01,2019,2,5165,0.74
2019-03-01,2019,3,5691,0.81
2019-04-01,2019,4,5933,0.85
2019-05-01,2019,5,6048,0.86
2019-06-01,2019,6,6390,0.91
2019-07-01,2019,7,6561,0.94
2019-08-01,2019,8,6242,0.89
2019-09-01,2019,9,5539,0.79
2019-10-01,2019,10,5109,0.73
2019-11-01,2019,11,5024,0.72
2019-12-01,2019,12,5091,0.73
2020-01-01,2020,1,4715,0.67
2020-02-01,2020,2,5430,0.78
2020-03-01,2020,3,5562,0.79
2020-04-01,2020,4,6050,0.86
2020-05-01,2020,5,6378,0.91
2020-06-01,2020,6,6561,0.94
2020-07-01,2020,7,6687,0.96
2020-08-01,2020,8,6610,0.94
2020-09-01,2020,9,5982,0.85
2020-10-01,2020,10,5988,0.86
2020-11-01,2020,11,5292,0.76
2020-12-01,2020,12,5438,0.78
2021-01-01,2021,1,5683,0.81
2021-02-01,2021,2,5801,0.83
2021-03-01,2021,3,5992,0.86
2021-04-01,2021,4,6333,0.9
2021-05-01,2021,5,6753,0.96
2021-06-01,2021,6,7072,1.01
2021-07-01,2021,7,6660,0.95
2021-08-01,2021,8,6638,0.95
2021-09-01,2021,9,6303,0.9
2021-10-01,2021,10,6119,0.87
2021-11-01,2021,11,5784,0.83
2021-12-01,2021,12,5738,0.82
2022-01-01,2022,1,5635,0.8
2022-02-01,2022,2,6066,0.87
2022-03-01,2022,3,6720,0.96
2022-04-01,2022,4,7352,1.05
2022-05-01,2022,5,6892,0.98
2022-06-01,2022,6,7844,1.12
2022-07-01,2022,7,7717,1.1
2022-08-01,2022,8,7283,1.04
2022-09-01,2022,9,6763,0.97
2022-10-01,2022,10,6240,0.89
2022-11-01,2022,11,6404,0.91
2022-12-01,2022,12,6437,0.92
2023-01-01,2023,1,6545,0.94
2023-02-01,2023,2,6771,0.97
2023-03-01,2023,3,6972,1.0
2023-04-01,2023,4,6965,1.0
2023-05-01,2023,5,7655,1.09
2023-06-01,2023,6,8008,1.14
2023-07-01,2023,7,7327,1.05
2023-08-01,2023,8,7569,1.08
2023-09-01,2023,9,7182,1.03
2023-10-01,2023,10,6852,0.98
2023-11-01,2023,11,6081,0.87
2023-12-01,2023,12,6130,0.88
2024-01-01,2024,1,6328,0.9
2024-02-01,2024,2,6469,0.92
2024-03-01,2024,3,7757,1.11
2024-04-01,2024,4,7569,1.08
2024-05-01,2024,5,8184,1.17
2024-06-01,2024,6,8147,1.16
2024-07-01,2024,7,8666,1.24
2024-08-01,2024,8,8276,1.18
2024-09-01,2024,9,7638,1.09
2024-10-01,2024,10,6413,0.92
2024-11-01,2024,11,6749,0.96
2024-12-01,2024,12,6825,0.97
2025-01-01,2025,1,7068,1.01
2025-02-01,2025,2,6983,1.0
2025-03-01,2025,3,8209,1.17
2025-04-01,2025,4,7716,1.1
2025-05-01,2025,5,8296,1.19
2025-06-01,2025,6,9010,1.29
2025-07-01,2025,7,8615,1.23
2025-08-01,2025,8,8957,1.28
2025-09-01,2025,9,7918,1.13
2025-10-01,2025,10,7232,1.03
2025-11-01,2025,11,6998,1.0
2025-12-01,2025,12,6703,0.96
2026-01-01,2026,1,6802,0.97
2026-02-01,2026,2,7744,1.11
2026-03-01,2026,3,8260,1.18
2026-04-01,2026,4,9040,1.29
2026-05-01,2026,5,8719,1.25
2026-06-01,2026,6,9782,1.4
2026-07-01,2026,7,8967,1.28
2026-08-01,2026,8,9300,1.33
2026-09-01,2026,9,8147,1.16
2026-10-01,2026,10,7598,1.09
2026-11-01,2026,11,7571,1.08
2026-12-01,2026,12,7699,1.1
